SlateGameID,Season,Date,SlateID,GameID,Updated,GameStatus
20250211GORLCA_1_11,2025,2025-02-11,2025021111_1,20250211GORLCA_1,2025-02-19,Announced
20250212PCCMCCV_2_11,2025,2025-02-12,2025021211_1,20250212PCCMCCV_2,2025-02-19,Announced
20250212PCCMCCV_1_11,2025,2025-02-12,2025021211_2,20250212PCCMCCV_1,2025-02-19,Announced
20250213CKFIG_2_11,2025,2025-02-13,2025021311_1,20250213CKFIG_2,2025-02-19,Announced
20250213CKFIG_1_11,2025,2025-02-13,2025021311_2,20250213CKFIG_1,2025-02-19,Announced
20250214GORPCC_2_11,2025,2025-02-14,2025021411_1,20250214GORPCC_2,2025-02-19,Announced
20250214GORPCC_1_11,2025,2025-02-14,2025021411_2,20250214GORPCC_1,2025-02-19,Announced
20250215LCAFIG_2_11,2025,2025-02-15,2025021511_1,20250215LCAFIG_2,2025-02-19,Announced
20250215LCAFIG_1_11,2025,2025-02-15,2025021511_2,20250215LCAFIG_1,2025-02-19,Announced
20250216CKGOR_2_11,2025,2025-02-16,2025021611_1,20250216CKGOR_2,2025-02-19,Announced
20250216CKGOR_1_11,2025,2025-02-16,2025021611_2,20250216CKGOR_1,2025-02-19,Announced
