GameID,Date,Team,TeamID,Opponent,OpponentID,TossWinner,TossDecision
20250211GORLCA_1,2025-02-11,LCA,3485,GOR,2373,LCA,field
20250212PCCMCCV_2,2025-02-12,MCCV,2372,PCC,4190,PCC,field
20250212PCCMCCV_1,2025-02-12,MCCV,2372,PCC,4190,PCC,bat
20250213CKFIG_2,2025-02-13,CK,2958,FIG,3484,FIG,field
20250213CKFIG_1,2025-02-13,FIG,3484,CK,2958,FIG,bat
20250214GORPCC_2,2025-02-14,PCC,4190,GOR,2373,GOR,field
20250214GORPCC_1,2025-02-14,PCC,4190,GOR,2373,GOR,field
20250215LCAFIG_2,2025-02-15,LCA,3485,FIG,3484,FIG,field
20250215LCAFIG_1,2025-02-15,LCA,3485,FIG,3484,LCA,bat
20250216CKGOR_2,2025-02-16,CK,2958,GOR,2373,CK,bat
20250216CKGOR_1,2025-02-16,CK,2958,GOR,2373,CK,bat
